date,open,high,low,close,volume
2016-03-02,185.5443,186.7829,185.0845,186.7266,102414960
2016-03-03,186.5295,187.4725,185.8915,187.4538,95172197
2016-03-04,187.6743,188.9316,186.7547,188.0684,129293601
2016-03-07,187.0456,188.6689,186.9612,188.2185,100218998
2016-03-08,187.0268,187.5898,185.9853,186.1636,123974866
2016-03-09,187.0644,187.4678,186.1917,187.0831,94801213
2016-03-10,187.6274,188.6689,185.2065,187.2333,156838697
2016-03-11,188.8472,190.3016,187.2125,190.2547,138243024
2016-03-14,189.6917,190.5174,189.3257,190.0107,74176589
2016-03-15,188.941,190.0395,188.6501,189.7011,93298821
2016-03-16,189.1662,191.2493,189.1193,190.7989,129303179
2016-03-17,190.7051,192.5723,190.2641,192.0089,134143421
2016-03-18,192.5654,193.1407,192.2164,192.7634,138372404
2016-03-21,192.4711,193.2916,192.2164,193.037,72926659
2016-03-22,192.1787,193.5651,191.9995,192.9332,97471939
2016-03-23,192.5088,192.7163,191.4713,191.6592,81052455
2016-03-24,190.5187,191.6128,190.2735,191.5751,84360853
2016-03-28,192.0372,192.273,191.1836,191.6882,62408185
2016-03-29,191.2355,193.584,190.896,193.4621,92922863
2016-03-30,194.5743,195.1119,193.9047,194.3102,86365310
2016-03-31,194.2065,194.6781,193.6594,193.8386,94584110
2016-04-01,192.7351,195.3666,192.3862,195.1591,114423478
2016-04-04,195.0742,195.3005,194.1876,194.5272,63496969
2016-04-05,193.037,194.5405,192.3013,192.5835,99662158
2016-04-06,192.6786,194.7535,192.3862,194.6875,91839761
2016-04-07,193.4802,193.8764,191.5468,192.3579,113859037
2016-04-08,193.6689,194.1499,192.2824,192.8759,95040598
2016-04-11,193.584,194.3574,192.3202,192.424,83757486
2016-04-12,192.6125,194.5272,192.1221,194.2159,115350567
2016-04-13,195.2345,196.272,195.0836,196.1784,96336433
2016-04-14,196.2437,196.7436,195.8004,196.1871,65212883
2016-04-15,196.1871,196.34,195.6118,195.9702,75761615
2016-04-18,195.3666,197.3849,195.2345,197.3465,82530960
2016-04-19,197.8188,198.2526,197.0643,197.9697,88316060
2016-04-20,198.0169,198.9317,197.4887,198.1583,81100314
2016-04-21,198.1772,198.2998,196.7907,197.0926,85695041
2016-04-22,196.6964,197.3944,196.0928,197.0926,99251724
2016-04-25,196.4229,196.8002,195.7438,196.753,66166494
2016-04-26,197.1586,197.6113,196.5172,197.0446,75864174
2016-04-27,196.621,197.8848,196.2248,197.451,77329437
2016-04-28,196.6115,197.8377,195.1968,195.6566,97216169
2016-04-29,194.9704,195.3571,193.3765,194.6034,142424137
2016-05-02,195.1591,196.3475,194.6781,196.1494,62188015
2016-05-03,194.7818,195.0459,193.6123,194.4415,106422142
2016-05-04,193.3388,194.1499,192.8012,193.3576,92243810
2016-05-05,193.8764,194.2725,192.8483,193.3199,67619222
2016-05-06,192.4616,194.0744,192.2919,194.0273,89315004
2016-05-09,193.8858,194.6686,193.6877,194.1869,74374922
2016-05-10,194.9704,196.6493,194.895,196.6021,77472207
2016-05-11,196.0928,196.687,194.7629,194.7629,81726989
2016-05-12,195.508,195.6966,193.6972,194.8195,89586308
2016-05-13,194.4894,195.1025,192.7634,193.1218,96474630
2016-05-16,193.3105,195.5552,193.2445,195.027,77486827
2016-05-17,194.7252,195.0459,192.622,193.2075,114924940
2016-05-18,192.82,194.5743,192.0561,193.2633,123493379
2016-05-19,192.4616,192.9143,191.2544,192.5937,115430507
2016-05-20,193.2728,194.3857,193.2162,193.8104,104990408
2016-05-23,193.8292,194.1405,193.3341,193.5463,58682576
2016-05-24,194.4517,196.404,194.4234,196.0551,93537808
2016-05-25,196.8096,197.8471,196.0542,197.3849,79221525
2016-05-26,197.5358,197.7905,197.0926,197.4415,55280699
2016-05-27,197.6207,198.2998,197.5641,198.2904,64211214
2016-05-31,198.5922,198.7148,197.2906,197.9131,109879380
2016-06-01,197.234,198.5167,197.0171,198.3187,69936215
2016-06-02,197.8754,198.9412,197.3471,198.9223,63044749
2016-06-03,198.2998,198.7148,196.9888,198.3281,101757126
